k***u,2017-07-02 18:42:25,[黄金甲]男深灰,XXL,宝贝很好，柔软，手感不错！
霜***秋,2017-07-02 09:50:25,【超柔版】男浅灰,XXXXXL,挺好的，爸爸喜欢
霜***秋,2017-07-02 09:50:25,【超柔版】男藏青,XXXXXL,挺好的，爸爸喜欢
平***8,2017-07-01 20:39:36,【尊享版】女紫色,XL,货已经收到，并且已经试穿了，质量很不错，材质很好，做工也很好，体感很舒适，价格实惠，性价比很高！由于尺码问题，换了货，服务态度很好，问题得到了很好的解决！质量好，服务好，值得拥有！ 服务态度很好，细心又周到！
平***8,2017-07-01 20:39:36,【尊享版】女红色,XL,货已经收到，并且已经试穿了，质量很不错，材质很好，做工也很好，体感很舒适，价格实惠，性价比很高！由于尺码问题，换了货，服务态度很好，问题得到了很好的解决！质量好，服务好，值得拥有！
平***8,2017-07-01 20:39:36,【尊享版】男浅灰,XL,货已经收到，并且已经试穿了，质量很不错，材质很好，做工也很好，体感很舒适，价格实惠，性价比很高！由于尺码问题，换了货，服务态度很好，问题得到了很好的解决！质量好，服务好，值得拥有！
谭***q,2017-07-01 17:56:36,[黄金甲]男深灰,XXL,还可以
无***天,2017-07-01 15:05:41,【超柔版】女黑色,XL,很好，有需要再来
q***2,2017-07-01 13:57:57,[黄金甲]男浅灰,L,这个价位买到算超赞的。穿的很舒服。大小也很合适。大赞。。
白***6,2017-07-01 08:16:04,【超柔版】女黑色,XXXL,衣服不错！质量摸着舒服！买大了就是
将***6,2017-06-30 21:06:53,【超柔版】男藏青,XXXXXL,尺寸很合适，质量非常好，很喜欢！服务好！
莉***o,2017-06-30 20:32:20,[黄金甲]男浅灰,XL,还行
黄***7,2017-06-30 19:14:07,【尊享版】男藏青,XL,要得很还会买第三次
黄***7,2017-06-30 19:13:02,【尊享版】男藏青,XL,第二次买了，好穿，巴适得很
a***情,2017-06-30 15:53:39,【超柔版】女紫色,XXL,衣服收到啦，还是挺满意的
青***服,2017-06-30 15:03:36,【尊享版】女黑色,XL,质量不错，价格实惠，物有所值
岁***梦,2017-06-30 14:41:54,【超柔版】男藏青,XXXXL,买厚了点，看起来还不错
n***9,2017-06-30 10:17:39,【超柔版】男深灰,XL,质量很好，蛮厚的。很保暖。五分好评
c***1,2017-06-30 09:23:11,[黄金甲]男藏青,XXXL,我拍的xxl，发来xl的，几十块不退了
水***吻,2017-06-30 06:21:30,【尊享版】女黑色,M,666
